25,"508;93;39;41;26;3;27;25;56;13;11;15;27;9;61;70;515;103;39;40;28;4;24;28;54;12;10;13;29;6;54;65;520;100;44;37;25;5;28;29;51;12;11;14;27;6;51;64"
26,"355;95;35;56;36;7;22;25;60;16;10;21;66;18;103;99;365;98;32;52;34;12;18;25;69;18;9;19;62;13;101;97;369;101;36;57;37;11;20;25;61;18;8;17;62;17;89;96"
27,"445;66;49;32;43;10;21;36;73;21;21;37;38;12;43;77;458;72;58;35;43;16;21;31;57;20;16;45;35;11;33;73;454;66;53;41;44;12;21;37;66;21;19;37;35;16;30;72"
28,"441;58;46;47;44;14;23;21;60;24;20;32;38;12;65;79;465;63;41;36;43;15;20;25;77;24;18;24;40;15;56;62;473;64;45;48;36;12;21;22;69;23;17;31;41;12;41;69"
29,"460;60;38;41;44;7;27;19;82;21;24;17;46;13;70;55;453;67;37;37;38;6;25;17;94;22;19;11;52;15;81;50;472;60;35;26;44;6;24;16;91;20;22;14;58;14;75;47"
30,"466;84;35;40;40;7;14;11;67;9;13;31;40;16;75;76;520;77;35;31;36;10;14;15;69;12;13;25;46;14;47;60;483;80;36;41;41;9;21;14;64;16;14;24;41;16;56;68"
31,"409;96;47;34;23;4;43;31;39;11;20;16;41;8;107;95;389;94;52;33;28;4;51;34;41;13;18;22;36;8;97;104;399;101;42;29;22;3;53;25;43;13;15;20;45;7;103;104"
32,"403;70;45;45;40;4;40;23;49;17;22;16;46;9;101;94;410;74;45;34;36;2;33;22;64;17;21;12;53;10;92;99;410;77;46;34;45;2;36;21;52;16;22;13;43;10;105;92"
33,"222;39;42;21;18;1;50;24;37;8;19;17;52;10;260;204;203;30;39;13;20;2;50;17;44;7;26;21;49;10;275;218;219;35;37;14;19;1;43;17;40;6;21;17;46;12;281;216"
34,"152;21;27;45;44;5;25;58;105;17;21;25;131;13;166;169;144;24;31;52;42;6;36;61;101;13;21;28;119;12;154;180;149;22;28;45;43;4;29;56;106;13;22;28;123;11;166;179"
35,"178;68;25;47;24;7;29;74;89;24;16;25;97;36;109;176;177;69;28;48;27;4;27;73;88;24;15;27;97;36;108;176;175;71;27;49;27;5;30;73;85;22;17;28;99;37;108;171"
36,"157;73;26;75;19;6;33;103;56;26;13;32;71;20;102;212;159;70;27;79;22;7;32;102;61;29;13;30;69;18;97;209;161;70;27;75;20;7;33;101;59;28;13;30;70;21;101;208"
37,"192;59;15;54;30;12;19;144;108;20;23;32;65;13;68;170;193;56;15;57;30;11;19;144;107;20;22;31;67;14;65;173;192;55;15;57;31;12;20;142;108;20;23;31;67;13;65;173"
