10,"299;38;64;41;48;9;55;39;67;18;19;18;51;21;110;127;309;40;67;43;43;9;60;38;64;18;17;17;49;24;101;125;308;40;68;44;43;9;59;38;65;18;18;15;49;23;102;125"
11,"507;42;32;24;29;6;21;11;82;22;16;23;53;15;83;58;515;43;31;28;30;6;22;11;87;24;17;22;56;14;64;54;511;48;32;27;29;5;21;13;85;24;18;22;54;14;64;57"
12,"447;57;63;34;29;10;37;29;63;19;18;24;42;16;59;77;464;53;63;34;28;10;37;33;60;18;19;24;38;18;52;73;468;55;64;34;28;10;36;33;60;18;18;24;37;16;50;73"
13,"449;99;45;48;37;6;22;34;57;28;11;23;35;5;48;77;462;103;40;53;32;5;21;35;59;25;13;23;31;2;39;81;448;124;45;59;30;5;27;38;53;22;8;20;29;2;36;78"
14,"493;87;37;24;37;3;24;20;78;14;11;19;33;19;56;69;494;85;39;20;43;3;22;18;83;12;13;17;38;17;51;69;507;78;38;18;41;6;26;20;77;14;13;19;35;21;40;71"
15,"374;53;53;48;55;9;32;37;68;16;25;29;42;11;56;116;368;60;53;56;48;8;25;44;71;19;23;26;40;11;59;113;371;55;60;60;51;10;30;52;61;19;22;27;35;15;47;109"
16,"382;47;53;30;39;2;38;33;88;15;17;29;56;16;78;101;372;51;52;31;44;5;35;26;87;11;23;28;47;14;83;115;384;42;48;27;43;5;38;25;95;12;25;28;58;18;75;101"
17,"426;53;40;30;32;10;31;23;65;26;14;25;67;11;79;92;414;66;44;40;36;8;28;23;70;25;15;21;66;10;70;88;420;65;43;27;36;7;33;23;70;24;16;16;63;12;85;84"
18,"473;69;40;35;35;3;16;20;106;15;11;20;45;12;63;61;481;77;41;32;37;6;12;21;99;19;11;18;42;13;59;56;493;68;43;23;37;8;13;21;102;18;11;20;46;14;52;55"
19,"434;50;45;46;26;2;45;23;84;12;19;17;49;12;76;84;439;56;47;32;35;3;36;18;91;10;17;18;52;13;83;74;438;51;49;28;33;2;37;26;103;11;22;16;54;12;66;76"
20,"376;56;51;41;32;5;39;30;50;15;19;13;40;5;112;140;381;66;58;45;25;7;34;31;45;12;16;13;32;8;113;138;386;65;57;39;25;5;41;22;47;14;16;14;32;6;113;142"
21,"312;50;62;54;54;17;45;52;51;18;19;33;33;9;83;132;315;43;60;61;56;10;49;50;53;18;21;33;40;10;78;127;311;47;54;59;53;13;43;55;51;14;23;35;41;6;91;128"
22,"410;60;36;47;37;10;29;27;93;16;24;19;42;17;80;77;422;54;39;38;40;9;33;24;94;24;26;22;54;17;53;75;415;61;40;43;35;10;34;22;81;15;21;22;46;16;75;88"
23,"409;33;42;39;44;7;23;57;110;20;24;19;61;10;60;66;401;28;38;36;43;8;19;52;115;21;26;18;60;13;77;69;398;31;36;48;43;7;24;57;109;19;23;24;61;8;66;70"
24,"403;60;67;54;51;15;35;31;47;19;18;41;35;13;33;102;408;59;66;55;52;16;36;33;47;19;17;44;35;13;28;96;391;61;61;55;52;17;29;33;61;20;20;45;39;12;36;92"
25,"489;200;36;91;14;9;15;27;27;19;1;14;12;6;21;43;509;221;39;82;14;9;10;27;22;14;2;14;10;6;12;33;521;228;32;85;13;7;9;25;19;15;3;10;8;7;10;32"
26,"461;97;37;47;44;9;22;26;76;28;19;22;29;12;31;64;455;89;38;47;48;8;23;21;75;30;17;27;28;10;36;72;485;103;36;49;40;10;23;23;74;30;14;21;22;10;24;60"
27,"545;134;32;37;32;9;14;19;45;32;7;20;19;12;23;44;544;129;32;39;33;9;13;22;50;29;11;25;18;11;16;43;570;143;30;33;33;11;10;17;41;31;8;23;14;10;13;37"
28,"509;111;40;35;30;11;19;20;62;26;14;17;40;11;28;51;528;116;37;34;29;11;19;16;54;20;15;14;36;11;30;54;517;115;39;42;29;11;18;17;52;20;12;14;37;10;36;55"
29,"575;107;38;35;25;5;16;16;46;16;12;11;30;12;48;32;617;100;34;20;23;6;16;15;40;20;13;12;27;10;40;31;607;108;36;21;26;5;16;13;43;17;11;12;30;12;38;29"
30,"546;78;33;33;30;7;16;28;63;14;12;22;34;8;43;57;539;81;37;33;29;6;18;27;62;14;15;21;31;5;48;58;552;84;34;34;28;5;19;28;59;14;13;21;30;5;42;56"
31,"452;91;46;34;35;9;25;17;77;20;13;24;50;18;49;64;454;95;44;35;30;7;27;18;70;17;14;26;46;16;58;67;451;89;44;30;31;8;28;16;78;20;13;20;55;17;56;68"
32,"443;106;56;59;28;17;25;21;34;14;10;15;21;8;89;78;437;110;56;57;26;17;23;22;36;14;11;16;18;8;95;78;438;110;56;60;28;19;22;24;33;14;9;16;19;8;92;76"
33,"420;73;50;34;33;8;37;39;56;19;12;14;34;16;84;95;424;70;47;33;34;8;37;36;55;18;13;16;32;16;85;100;415;73;45;39;33;9;35;37;55;18;12;16;32;15;93;97"
34,"346;82;29;27;26;2;47;34;43;8;17;23;62;8;139;131;341;83;29;28;23;5;49;33;39;10;18;18;57;8;148;135;336;82;29;33;28;4;45;35;43;10;17;22;55;7;143;135"
