
FV w Color;FV w LBP;include road marks
No;Yes;No;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,4";299;178;278;1045;0.518198;0.746667;0.626834;0.789872;0.567362
0.1;1;8;"2,3";353;159;329;959;0.517595;0.728889;0.689453;0.744565;0.59129
0.1;1;8;"2,4";348;133;154;1165;0.693227;0.840556;0.723493;0.883245;0.708037
0.1;1;8;"3,4";373;117;241;1069;0.607492;0.801111;0.761224;0.816031;0.675725
0.1;1;8;"1,2,3";171;94;152;483;0.529412;0.726667;0.645283;0.76063;0.581633
0.1;1;8;"1,2,4";162;72;85;581;0.65587;0.825556;0.692308;0.872372;0.673597
0.1;1;8;"1,3,4";179;64;170;487;0.512894;0.74;0.736626;0.741248;0.60473
0.1;1;8;"2,3,4";171;76;222;431;0.435115;0.668889;0.692308;0.660031;0.534375
0.1;1;16;"1,2";267;121;94;958;0.739612;0.850694;0.688144;0.910646;0.712951
0.1;1;16;"1,3";290;108;157;885;0.64877;0.815972;0.728643;0.849328;0.686391
0.1;1;16;"1,4";224;148;171;897;0.567089;0.778472;0.602151;0.839888;0.584094
0.1;1;16;"2,3";256;147;114;923;0.691892;0.81875;0.635236;0.890068;0.662354
0.1;1;16;"2,4";321;56;168;895;0.656442;0.844444;0.851459;0.841957;0.741339
0.1;1;16;"3,4";296;91;257;796;0.535262;0.758333;0.764858;0.755935;0.629787
0.1;1;16;"1,2,3";46;161;42;471;0.522727;0.718056;0.222222;0.918129;0.311864
0.1;1;16;"1,2,4";161;20;71;468;0.693966;0.873611;0.889503;0.868275;0.779661
0.1;1;16;"1,3,4";157;34;116;413;0.575092;0.791667;0.82199;0.780718;0.676724
0.1;1;16;"2,3,4";97;99;119;405;0.449074;0.697222;0.494898;0.772901;0.470874
0.1;1;32;"1,2";163;43;95;609;0.631783;0.848352;0.791262;0.865057;0.702586
0.1;1;32;"1,3";127;81;136;566;0.48289;0.761538;0.610577;0.806268;0.539278
0.1;1;32;"1,4";123;65;45;677;0.732143;0.879121;0.654255;0.937673;0.691011
0.1;1;32;"2,3";126;88;65;631;0.659686;0.831868;0.588785;0.906609;0.622222
0.1;1;32;"2,4";161;33;73;643;0.688034;0.883516;0.829897;0.898045;0.752336
0.1;1;32;"3,4";120;76;267;447;0.310078;0.623077;0.612245;0.62605;0.411664
0.1;1;32;"1,2,3";75;38;33;309;0.694444;0.843956;0.663717;0.903509;0.678733
0.1;1;32;"1,2,4";82;11;23;339;0.780952;0.925275;0.88172;0.936464;0.828283
0.1;1;32;"1,3,4";82;13;41;319;0.666667;0.881319;0.863158;0.886111;0.752294
0.1;1;32;"2,3,4";69;32;54;300;0.560976;0.810989;0.683168;0.847458;0.616071

FV w Color;FV w LBP;include road marks
Yes;Yes;Yes;
C;gamma;blkSize;datasets trained on;TP;FN;FP;TN;precision;accuracy;recall;True negative rate;F
0.1;1;8;"1,2";371;128;321;980;0.536127;0.750556;0.743487;0.753267;0.623006
0.1;1;8;"1,3";293;215;275;1017;0.515845;0.727778;0.576772;0.787152;0.54461
0.1;1;8;"1,4";299;178;278;1045;0.518198;0.746667;0.626834;0.789872;0.567362
0.1;1;8;"2,3";353;159;329;959;0.517595;0.728889;0.689453;0.744565;0.59129
0.1;1;8;"2,4";348;133;154;1165;0.693227;0.840556;0.723493;0.883245;0.708037
0.1;1;8;"3,4";373;117;241;1069;0.607492;0.801111;0.761224;0.816031;0.675725
0.1;1;8;"1,2,3";171;94;152;483;0.529412;0.726667;0.645283;0.76063;0.581633
0.1;1;8;"1,2,4";162;72;85;581;0.65587;0.825556;0.692308;0.872372;0.673597
0.1;1;8;"1,3,4";179;64;170;487;0.512894;0.74;0.736626;0.741248;0.60473
0.1;1;8;"2,3,4";171;76;222;431;0.435115;0.668889;0.692308;0.660031;0.534375
0.1;1;16;"1,2";267;121;94;958;0.739612;0.850694;0.688144;0.910646;0.712951
0.1;1;16;"1,3";290;108;157;885;0.64877;0.815972;0.728643;0.849328;0.686391
0.1;1;16;"1,4";224;148;171;897;0.567089;0.778472;0.602151;0.839888;0.584094
0.1;1;16;"2,3";256;147;114;923;0.691892;0.81875;0.635236;0.890068;0.662354
0.1;1;16;"2,4";321;56;168;895;0.656442;0.844444;0.851459;0.841957;0.741339
0.1;1;16;"3,4";296;91;257;796;0.535262;0.758333;0.764858;0.755935;0.629787
0.1;1;16;"1,2,3";46;161;42;471;0.522727;0.718056;0.222222;0.918129;0.311864
0.1;1;16;"1,2,4";161;20;71;468;0.693966;0.873611;0.889503;0.868275;0.779661
0.1;1;16;"1,3,4";157;34;116;413;0.575092;0.791667;0.82199;0.780718;0.676724
0.1;1;16;"2,3,4";97;99;119;405;0.449074;0.697222;0.494898;0.772901;0.470874
0.1;1;32;"1,2";163;43;95;609;0.631783;0.848352;0.791262;0.865057;0.702586
0.1;1;32;"1,3";127;81;136;566;0.48289;0.761538;0.610577;0.806268;0.539278
0.1;1;32;"1,4";123;65;45;677;0.732143;0.879121;0.654255;0.937673;0.691011
0.1;1;32;"2,3";126;88;65;631;0.659686;0.831868;0.588785;0.906609;0.622222
0.1;1;32;"2,4";161;33;73;643;0.688034;0.883516;0.829897;0.898045;0.752336
0.1;1;32;"3,4";120;76;267;447;0.310078;0.623077;0.612245;0.62605;0.411664
0.1;1;32;"1,2,3";75;38;33;309;0.694444;0.843956;0.663717;0.903509;0.678733
0.1;1;32;"1,2,4";82;11;23;339;0.780952;0.925275;0.88172;0.936464;0.828283
0.1;1;32;"1,3,4";82;13;41;319;0.666667;0.881319;0.863158;0.886111;0.752294
0.1;1;32;"2,3,4";69;32;54;300;0.560976;0.810989;0.683168;0.847458;0.616071
