,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
No,Yes,No,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
0.1,0.00001,16,"1,2,4",106,33,24,557,0.815385,0.920833,0.76259,0.958692,0.788104
0.1,0.00001,16,"1,3,4",112,37,32,539,0.777778,0.904167,0.751678,0.943958,0.764505
0.1,0.00001,16,"2,3,4",137,23,30,530,0.820359,0.926389,0.85625,0.946429,0.83792
0.1,0.00001,32,"1,2",66,104,19,721,0.776471,0.864835,0.388235,0.974324,0.517647
2.5,0.00001,32,"1,3",91,81,18,720,0.834862,0.891209,0.52907,0.97561,0.647687
2.5,0.00001,32,"1,4",38,96,14,762,0.730769,0.879121,0.283582,0.981959,0.408602
2.5,0.00001,32,"2,3",45,133,13,719,0.775862,0.83956,0.252809,0.98224,0.381356
2.5,0.00001,32,"2,4",84,56,31,739,0.730435,0.904396,0.6,0.95974,0.658824
2.5,0.00001,32,"3,4",92,50,18,750,0.836364,0.925275,0.647887,0.976562,0.730159
12.5,0.00001,32,"1,2,3",57,47,11,340,0.838235,0.872527,0.548077,0.968661,0.662791
0.1,0.00001,32,"1,2,4",34,32,17,372,0.666667,0.892308,0.515152,0.956298,0.581197
2.5,0.00001,32,"1,3,4",52,16,13,374,0.8,0.936264,0.764706,0.966408,0.781955
12.5,0.00001,32,"2,3,4",49,25,13,368,0.790323,0.916484,0.662162,0.965879,0.720588
,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
No,Yes,Yes,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
0.1,0.03375,8,"1,2",115,384,90,1211,0.560976,0.736667,0.230461,0.930822,0.326705
0.1,0.03375,8,"1,3",134,374,111,1181,0.546939,0.730556,0.26378,0.914087,0.35591
62.5,0.00001,8,"1,4",177,300,200,1123,0.469496,0.722222,0.371069,0.848828,0.41452
0.1,0.03375,8,"2,3",44,468,71,1217,0.382609,0.700556,0.0859375,0.944876,0.140351
2.5,0.03375,8,"2,4",210,271,279,1040,0.429448,0.694444,0.43659,0.788476,0.43299
62.5,0.00001,8,"3,4",33,457,152,1158,0.178378,0.661667,0.0673469,0.883969,0.0977778
0.1,0.03375,8,"1,2,3",21,244,21,614,0.5,0.705556,0.0792453,0.966929,0.136808
12.5,0.00001,8,"1,2,4",0,234,0,666,-nan,0.74,0,1,-nan
12.5,0.00001,8,"1,3,4",0,243,0,657,-nan,0.73,0,1,-nan
12.5,0.00001,8,"2,3,4",0,247,0,653,-nan,0.725556,0,1,-nan
2.5,0.00001,16,"1,2",3,385,2,1050,0.6,0.73125,0.00773196,0.998099,0.0152672
0.1,0.00225,16,"1,3",164,234,128,914,0.561644,0.748611,0.41206,0.877159,0.475362
2.5,0.00225,16,"1,4",88,284,75,993,0.539877,0.750694,0.236559,0.929775,0.328972
0.1,0.00225,16,"2,3",317,86,773,264,0.290826,0.403472,0.7866,0.254581,0.424648
2.5,0.00225,16,"2,4",156,221,148,915,0.513158,0.74375,0.413793,0.860771,0.45815
0.1,0.00225,16,"3,4",146,241,140,913,0.51049,0.735417,0.377261,0.867047,0.433878
2.5,0.00001,16,"1,2,3",0,207,0,513,-nan,0.7125,0,1,-nan
0.1,0.00225,16,"1,2,4",47,134,40,499,0.54023,0.758333,0.259669,0.925788,0.350746
2.5,0.00001,16,"1,3,4",48,143,68,461,0.413793,0.706944,0.251309,0.871456,0.312704
0.1,0.00225,16,"2,3,4",42,154,18,506,0.7,0.761111,0.214286,0.965649,0.328125
0.1,0.00015,32,"1,2",106,100,85,619,0.554974,0.796703,0.514563,0.879261,0.534005
0.1,0.00015,32,"1,3",87,121,59,643,0.59589,0.802198,0.418269,0.915954,0.491525
0.1,0.00015,32,"1,4",61,127,47,675,0.564815,0.808791,0.324468,0.934903,0.412162
0.1,0.00015,32,"2,3",106,108,81,615,0.566845,0.792308,0.495327,0.883621,0.528678
0.1,0.00015,32,"2,4",73,121,56,660,0.565891,0.805495,0.376289,0.921788,0.452012
0.1,0.00015,32,"3,4",65,131,68,646,0.488722,0.781319,0.331633,0.904762,0.395137
2.5,0.00015,32,"1,2,3",84,29,61,281,0.57931,0.802198,0.743363,0.821637,0.651163
2.5,0.00015,32,"1,2,4",26,67,24,338,0.52,0.8,0.27957,0.933702,0.363636
0.1,0.00015,32,"1,3,4",41,54,33,327,0.554054,0.808791,0.431579,0.908333,0.485207
2.5,0.00015,32,"2,3,4",46,55,21,333,0.686567,0.832967,0.455446,0.940678,0.547619
,,,,,,,,,,,,
FV w Color,FV w LBP,include road marks,,,,,,,,,,
Yes,No,Yes,,,,,,,,,,
C,gamma,blkSize,datasets trained on,TP,FN,FP,TN,precision,accuracy,recall,True negative rate,F
0.1,0.00225,8,"1,2",348,151,87,1214,0.8,0.867778,0.697395,0.933128,0.745182
0.1,0.00015,8,"1,3",326,182,283,1009,0.535304,0.741667,0.641732,0.78096,0.583706
0.1,0.00001,8,"1,4",171,306,279,1044,0.38,0.675,0.358491,0.789116,0.368932
0.1,0.00225,8,"2,3",326,186,244,1044,0.57193,0.761111,0.636719,0.810559,0.602588
0.1,0.00015,8,"2,4",294,187,47,1272,0.86217,0.87,0.611227,0.964367,0.715328
